n,averageHeight
50, 9.7
100, 12.58
150, 13.59
200, 14.85
250, 15.39
300, 16.23
350, 16.83
400, 17.48
450, 18.19
500, 18.36
550, 19.09
600, 18.86
650, 19.58
700, 19.54
750, 19.97
800, 20.13
850, 20.43
900, 20.54
950, 21.11
1000, 20.97
1050, 21.22
1100, 21.65
1150, 21.14
1200, 21.73
1250, 21.61
1300, 21.84
1350, 22.4
1400, 22.39
1450, 22.77
1500, 22.7
1550, 22.67
1600, 23.03
1650, 23.1
1700, 22.93
1750, 23.02
1800, 23.75
1850, 23.41
1900, 23.66
1950, 23.35
2000, 23.44
2050, 23.98
2100, 23.95
2150, 23.71
2200, 24.18
2250, 24.36
2300, 24.13
2350, 24.15
2400, 24.31
2450, 24.71
2500, 24.68
2550, 24.69
2600, 24.77
2650, 24.95
2700, 25.4
2750, 25.07
2800, 25.36
2850, 25.08
2900, 25.29
2950, 25.31
3000, 25.4
3050, 25.58
3100, 25.45
3150, 25.52
3200, 25.58
3250, 25.8
3300, 25.6
3350, 25.95
3400, 26.08
3450, 25.62
3500, 26.05
3550, 26.15
3600, 26.06
3650, 25.99
3700, 26.09
3750, 25.88
3800, 26.26
3850, 26.55
3900, 26.28
3950, 26.53
4000, 26.73
4050, 26.82
4100, 26.67
4150, 26.57
4200, 26.56
4250, 26.88
4300, 27.14
4350, 26.65
4400, 26.89
4450, 26.81
4500, 27.11
4550, 26.51
4600, 27.51
4650, 27.31
4700, 27.6
4750, 27.24
4800, 27.23
4850, 27.5
4900, 27.57
4950, 27.59
5000, 27.28
