pattern,n,operation,structure,time_us
Random,100,Batch Insert,Treap,424.5
Random,200,Batch Insert,Treap,103.3
Random,300,Batch Insert,Treap,61.1
Random,400,Batch Insert,Treap,82.88
Random,500,Batch Insert,Treap,80.9
Random,600,Batch Insert,Treap,77.22
Random,700,Batch Insert,Treap,89.36
Random,800,Batch Insert,Treap,108.36
Random,900,Batch Insert,Treap,133.36
Random,1000,Batch Insert,Treap,145.94
Random,1500,Batch Insert,Treap,241.58
Random,2000,Batch Insert,Treap,360.18
Random,2500,Batch Insert,Treap,451.18
Random,3000,Batch Insert,Treap,533.06
Random,3500,Batch Insert,Treap,647.92
Random,4000,Batch Insert,Treap,884.26
Random,4500,Batch Insert,Treap,811.08
Random,5000,Batch Insert,Treap,819.0
Random,6000,Batch Insert,Treap,1409.52
Random,7000,Batch Insert,Treap,1199.56
Random,8000,Batch Insert,Treap,1390.52
Random,9000,Batch Insert,Treap,1711.84
Random,10000,Batch Insert,Treap,1791.9
Random,100,Batch Insert,AVLTreeMap,150.64
Random,200,Batch Insert,AVLTreeMap,37.54
Random,300,Batch Insert,AVLTreeMap,57.88
Random,400,Batch Insert,AVLTreeMap,103.34
Random,500,Batch Insert,AVLTreeMap,84.46
Random,600,Batch Insert,AVLTreeMap,51.52
Random,700,Batch Insert,AVLTreeMap,62.7
Random,800,Batch Insert,AVLTreeMap,73.98
Random,900,Batch Insert,AVLTreeMap,110.3
Random,1000,Batch Insert,AVLTreeMap,118.08
Random,1500,Batch Insert,AVLTreeMap,216.12
Random,2000,Batch Insert,AVLTreeMap,278.88
Random,2500,Batch Insert,AVLTreeMap,461.32
Random,3000,Batch Insert,AVLTreeMap,531.5
Random,3500,Batch Insert,AVLTreeMap,596.22
Random,4000,Batch Insert,AVLTreeMap,633.42
Random,4500,Batch Insert,AVLTreeMap,619.36
Random,5000,Batch Insert,AVLTreeMap,726.86
Random,6000,Batch Insert,AVLTreeMap,879.62
Random,7000,Batch Insert,AVLTreeMap,1004.84
Random,8000,Batch Insert,AVLTreeMap,1184.88
Random,9000,Batch Insert,AVLTreeMap,1430.04
Random,10000,Batch Insert,AVLTreeMap,1529.42
Random,100,Batch Insert,TreeMap,130.72
Random,200,Batch Insert,TreeMap,80.76
Random,300,Batch Insert,TreeMap,50.74
Random,400,Batch Insert,TreeMap,28.8
Random,500,Batch Insert,TreeMap,34.7
Random,600,Batch Insert,TreeMap,40.94
Random,700,Batch Insert,TreeMap,50.48
Random,800,Batch Insert,TreeMap,109.54
Random,900,Batch Insert,TreeMap,108.14
Random,1000,Batch Insert,TreeMap,347.34
Random,1500,Batch Insert,TreeMap,543.38
Random,2000,Batch Insert,TreeMap,264.42
Random,2500,Batch Insert,TreeMap,280.08
Random,3000,Batch Insert,TreeMap,336.96
Random,3500,Batch Insert,TreeMap,403.4
Random,4000,Batch Insert,TreeMap,418.7
Random,4500,Batch Insert,TreeMap,462.12
Random,5000,Batch Insert,TreeMap,530.26
Random,6000,Batch Insert,TreeMap,625.06
Random,7000,Batch Insert,TreeMap,727.06
Random,8000,Batch Insert,TreeMap,884.24
Random,9000,Batch Insert,TreeMap,953.02
Random,10000,Batch Insert,TreeMap,1166.76
Sorted Ascending,100,Batch Insert,Treap,3.84
Sorted Ascending,200,Batch Insert,Treap,6.24
Sorted Ascending,300,Batch Insert,Treap,9.58
Sorted Ascending,400,Batch Insert,Treap,13.16
Sorted Ascending,500,Batch Insert,Treap,18.68
Sorted Ascending,600,Batch Insert,Treap,19.64
Sorted Ascending,700,Batch Insert,Treap,34.94
Sorted Ascending,800,Batch Insert,Treap,25.52
Sorted Ascending,900,Batch Insert,Treap,30.84
Sorted Ascending,1000,Batch Insert,Treap,29.98
Sorted Ascending,1500,Batch Insert,Treap,48.46
Sorted Ascending,2000,Batch Insert,Treap,69.86
Sorted Ascending,2500,Batch Insert,Treap,87.04
Sorted Ascending,3000,Batch Insert,Treap,102.82
Sorted Ascending,3500,Batch Insert,Treap,155.18
Sorted Ascending,4000,Batch Insert,Treap,154.2
Sorted Ascending,4500,Batch Insert,Treap,153.02
Sorted Ascending,5000,Batch Insert,Treap,172.06
Sorted Ascending,6000,Batch Insert,Treap,206.88
Sorted Ascending,7000,Batch Insert,Treap,240.02
Sorted Ascending,8000,Batch Insert,Treap,361.88
Sorted Ascending,9000,Batch Insert,Treap,314.06
Sorted Ascending,10000,Batch Insert,Treap,850.08
Sorted Ascending,100,Batch Insert,AVLTreeMap,3.38
