pattern,n,algorithm,time_us
Random,100,TreapSort,205.32
Random,200,TreapSort,158.4
Random,300,TreapSort,209.3
Random,400,TreapSort,289.28
Random,500,TreapSort,400.62
Random,600,TreapSort,416.42
Random,700,TreapSort,409.76
Random,800,TreapSort,311.98
Random,900,TreapSort,376.58
Random,1000,TreapSort,379.72
Random,1500,TreapSort,515.34
Random,2000,TreapSort,538.4
Random,2500,TreapSort,670.06
Random,3000,TreapSort,869.72
Random,3500,TreapSort,909.24
Random,4000,TreapSort,1168.8
Random,4500,TreapSort,1154.48
Random,5000,TreapSort,1707.14
Random,5500,TreapSort,1433.62
Random,6000,TreapSort,1792.82
Random,6500,TreapSort,1813.28
Random,7000,TreapSort,2025.22
Random,7500,TreapSort,2110.68
Random,8000,TreapSort,2902.34
Random,8500,TreapSort,2518.94
Random,9000,TreapSort,3203.64
Random,9500,TreapSort,3113.74
Random,10000,TreapSort,3454.32
Random,100,PQSort,174.04
Random,200,PQSort,105.46
Random,300,PQSort,119.76
Random,400,PQSort,115.44
Random,500,PQSort,88.66
Random,600,PQSort,118.36
Random,700,PQSort,113.04
Random,800,PQSort,126.68
Random,900,PQSort,163.88
Random,1000,PQSort,108.5
Random,1500,PQSort,165.9
Random,2000,PQSort,348.06
Random,2500,PQSort,348.08
Random,3000,PQSort,392.04
Random,3500,PQSort,523.88
Random,4000,PQSort,552.18
Random,4500,PQSort,715.44
Random,5000,PQSort,720.56
Random,5500,PQSort,857.12
Random,6000,PQSort,929.16
Random,6500,PQSort,888.52
Random,7000,PQSort,1049.96
Random,7500,PQSort,1255.16
Random,8000,PQSort,1308.42
Random,8500,PQSort,1407.02
Random,9000,PQSort,1460.38
Random,9500,PQSort,1596.4
Random,10000,PQSort,1872.5
Random,100,Collections.sort,31.2
Random,200,Collections.sort,70.9
Random,300,Collections.sort,101.88
Random,400,Collections.sort,109.74
Random,500,Collections.sort,106.72
Random,600,Collections.sort,88.18
Random,700,Collections.sort,112.1
Random,800,Collections.sort,127.38
Random,900,Collections.sort,147.2
Random,1000,Collections.sort,158.52
Random,1500,Collections.sort,276.44
Random,2000,Collections.sort,257.82
Random,2500,Collections.sort,362.1
Random,3000,Collections.sort,431.66
Random,3500,Collections.sort,494.76
Random,4000,Collections.sort,602.68
Random,4500,Collections.sort,525.52
Random,5000,Collections.sort,670.8
Random,5500,Collections.sort,751.24
Random,6000,Collections.sort,740.28
Random,6500,Collections.sort,878.02
Random,7000,Collections.sort,918.66
Random,7500,Collections.sort,1426.8
Random,8000,Collections.sort,1146.2
Random,8500,Collections.sort,1451.46
Random,9000,Collections.sort,1084.76
Random,9500,Collections.sort,1227.0
Random,10000,Collections.sort,1376.62
Random,100,QuickSort,29.32
Random,200,QuickSort,7.54
Random,300,QuickSort,13.02
Random,400,QuickSort,16.04
Random,500,QuickSort,10.3
Random,600,QuickSort,15.68
Random,700,QuickSort,17.04
Random,800,QuickSort,46.66
Random,900,QuickSort,38.24
Random,1000,QuickSort,32.54
Random,1500,QuickSort,79.62
Random,2000,QuickSort,99.5
Random,2500,QuickSort,141.82
Random,3000,QuickSort,176.82
Random,3500,QuickSort,192.76
Random,4000,QuickSort,235.98
Random,4500,QuickSort,265.04
Random,5000,QuickSort,287.96
Random,5500,QuickSort,350.58
Random,6000,QuickSort,386.24
Random,6500,QuickSort,437.6
Random,7000,QuickSort,462.02
Random,7500,QuickSort,542.52
Random,8000,QuickSort,622.74
Random,8500,QuickSort,624.92
Random,9000,QuickSort,591.02
Random,9500,QuickSort,628.12
Random,10000,QuickSort,711.48
Random,100,MergeSort,41.4
Random,200,MergeSort,18.2
Random,300,MergeSort,177.08
Random,400,MergeSort,20.24
Random,500,MergeSort,30.24
Random,600,MergeSort,20.88
Random,700,MergeSort,26.2
Random,800,MergeSort,41.24
Random,900,MergeSort,47.38
Random,1000,MergeSort,52.4
Random,1500,MergeSort,112.62
Random,2000,MergeSort,140.78
Random,2500,MergeSort,188.1
Random,3000,MergeSort,254.38
Random,3500,MergeSort,290.76
Random,4000,MergeSort,348.64
Random,4500,MergeSort,408.54
Random,5000,MergeSort,422.62
Random,5500,MergeSort,451.68
Random,6000,MergeSort,530.44
Random,6500,MergeSort,578.18
Random,7000,MergeSort,634.92
Random,7500,MergeSort,745.62
Random,8000,MergeSort,934.66
Random,8500,MergeSort,868.58
Random,9000,MergeSort,870.22
Random,9500,MergeSort,1021.5
Random,10000,MergeSort,981.7
Nearly Sorted,100,TreapSort,18.38
Nearly Sorted,200,TreapSort,33.32
Nearly Sorted,300,TreapSort,50.44
Nearly Sorted,400,TreapSort,77.54
Nearly Sorted,500,TreapSort,88.26
Nearly Sorted,600,TreapSort,106.8
Nearly Sorted,700,TreapSort,125.26
Nearly Sorted,800,TreapSort,154.82
Nearly Sorted,900,TreapSort,179.5
Nearly Sorted,1000,TreapSort,192.84
Nearly Sorted,1500,TreapSort,354.28
