pattern,n,operation,structure,time_us
Random,100,Batch Insert,Treap,281.84
Random,200,Batch Insert,Treap,63.26
Random,300,Batch Insert,Treap,179.28
Random,400,Batch Insert,Treap,123.52
Random,500,Batch Insert,Treap,61.24
Random,600,Batch Insert,Treap,93.56
Random,700,Batch Insert,Treap,108.4
Random,800,Batch Insert,Treap,118.54
Random,900,Batch Insert,Treap,127.2
Random,1000,Batch Insert,Treap,146.02
Random,1500,Batch Insert,Treap,231.74
Random,2000,Batch Insert,Treap,322.3
Random,2500,Batch Insert,Treap,408.26
Random,3000,Batch Insert,Treap,503.68
Random,3500,Batch Insert,Treap,653.3
Random,4000,Batch Insert,Treap,676.52
Random,4500,Batch Insert,Treap,769.42
Random,5000,Batch Insert,Treap,888.48
Random,5500,Batch Insert,Treap,872.06
Random,6000,Batch Insert,Treap,979.68
Random,6500,Batch Insert,Treap,1065.52
Random,7000,Batch Insert,Treap,1207.26
Random,7500,Batch Insert,Treap,1400.28
Random,8000,Batch Insert,Treap,1390.28
Random,8500,Batch Insert,Treap,1382.9
Random,9000,Batch Insert,Treap,1689.18
Random,9500,Batch Insert,Treap,1580.48
Random,10000,Batch Insert,Treap,1753.68
Random,100,Batch Insert,AVLTreeMap,278.02
Random,200,Batch Insert,AVLTreeMap,36.82
Random,300,Batch Insert,AVLTreeMap,89.56
Random,400,Batch Insert,AVLTreeMap,158.1
Random,500,Batch Insert,AVLTreeMap,59.28
Random,600,Batch Insert,AVLTreeMap,73.4
Random,700,Batch Insert,AVLTreeMap,92.02
Random,800,Batch Insert,AVLTreeMap,99.84
Random,900,Batch Insert,AVLTreeMap,277.64
Random,1000,Batch Insert,AVLTreeMap,114.32
Random,1500,Batch Insert,AVLTreeMap,225.86
Random,2000,Batch Insert,AVLTreeMap,318.26
Random,2500,Batch Insert,AVLTreeMap,382.04
Random,3000,Batch Insert,AVLTreeMap,448.5
Random,3500,Batch Insert,AVLTreeMap,566.52
Random,4000,Batch Insert,AVLTreeMap,703.0
Random,4500,Batch Insert,AVLTreeMap,772.96
Random,5000,Batch Insert,AVLTreeMap,741.8
Random,5500,Batch Insert,AVLTreeMap,793.54
Random,6000,Batch Insert,AVLTreeMap,851.98
Random,6500,Batch Insert,AVLTreeMap,936.7
Random,7000,Batch Insert,AVLTreeMap,991.5
Random,7500,Batch Insert,AVLTreeMap,1043.72
Random,8000,Batch Insert,AVLTreeMap,1194.34
Random,8500,Batch Insert,AVLTreeMap,1261.88
Random,9000,Batch Insert,AVLTreeMap,1370.64
Random,9500,Batch Insert,AVLTreeMap,1369.42
Random,10000,Batch Insert,AVLTreeMap,1943.6
Random,100,Batch Insert,TreeMap,117.6
Random,200,Batch Insert,TreeMap,22.54
Random,300,Batch Insert,TreeMap,35.26
Random,400,Batch Insert,TreeMap,44.68
Random,500,Batch Insert,TreeMap,55.22
Random,600,Batch Insert,TreeMap,39.88
Random,700,Batch Insert,TreeMap,49.64
Random,800,Batch Insert,TreeMap,58.22
Random,900,Batch Insert,TreeMap,403.4
Random,1000,Batch Insert,TreeMap,433.14
Random,1500,Batch Insert,TreeMap,218.68
Random,2000,Batch Insert,TreeMap,223.32
Random,2500,Batch Insert,TreeMap,277.9
Random,3000,Batch Insert,TreeMap,454.44
Random,3500,Batch Insert,TreeMap,459.34
Random,4000,Batch Insert,TreeMap,470.84
Random,4500,Batch Insert,TreeMap,513.66
Random,5000,Batch Insert,TreeMap,521.64
Random,5500,Batch Insert,TreeMap,570.08
Random,6000,Batch Insert,TreeMap,633.34
Random,6500,Batch Insert,TreeMap,678.0
Random,7000,Batch Insert,TreeMap,781.2
Random,7500,Batch Insert,TreeMap,997.8
Random,8000,Batch Insert,TreeMap,868.44
Random,8500,Batch Insert,TreeMap,969.82
Random,9000,Batch Insert,TreeMap,1015.34
Random,9500,Batch Insert,TreeMap,998.68
Random,10000,Batch Insert,TreeMap,1095.04
Sorted Ascending,100,Batch Insert,Treap,3.38
Sorted Ascending,200,Batch Insert,Treap,6.08
Sorted Ascending,300,Batch Insert,Treap,9.52
Sorted Ascending,400,Batch Insert,Treap,14.42
Sorted Ascending,500,Batch Insert,Treap,14.96
Sorted Ascending,600,Batch Insert,Treap,20.1
Sorted Ascending,700,Batch Insert,Treap,21.86
Sorted Ascending,800,Batch Insert,Treap,26.34
Sorted Ascending,900,Batch Insert,Treap,28.98
Sorted Ascending,1000,Batch Insert,Treap,32.68
Sorted Ascending,1500,Batch Insert,Treap,59.26
Sorted Ascending,2000,Batch Insert,Treap,65.08
Sorted Ascending,2500,Batch Insert,Treap,96.0
Sorted Ascending,3000,Batch Insert,Treap,105.6
Sorted Ascending,3500,Batch Insert,Treap,117.42
Sorted Ascending,4000,Batch Insert,Treap,136.5
Sorted Ascending,4500,Batch Insert,Treap,148.2
Sorted Ascending,5000,Batch Insert,Treap,164.22
Sorted Ascending,5500,Batch Insert,Treap,171.5
Sorted Ascending,6000,Batch Insert,Treap,210.54
Sorted Ascending,6500,Batch Insert,Treap,229.72
Sorted Ascending,7000,Batch Insert,Treap,245.44
Sorted Ascending,7500,Batch Insert,Treap,253.84
Sorted Ascending,8000,Batch Insert,Treap,265.98
Sorted Ascending,8500,Batch Insert,Treap,279.62
Sorted Ascending,9000,Batch Insert,Treap,575.88
Sorted Ascending,9500,Batch Insert,Treap,321.8
Sorted Ascending,10000,Batch Insert,Treap,348.34
Sorted Ascending,100,Batch Insert,AVLTreeMap,3.5
Sorted Ascending,200,Batch Insert,AVLTreeMap,7.08
Sorted Ascending,300,Batch Insert,AVLTreeMap,11.5
Sorted Ascending,400,Batch Insert,AVLTreeMap,17.44
Sorted Ascending,500,Batch Insert,AVLTreeMap,28.78
Sorted Ascending,600,Batch Insert,AVLTreeMap,28.8
Sorted Ascending,700,Batch Insert,AVLTreeMap,28.98
Sorted Ascending,800,Batch Insert,AVLTreeMap,36.7
Sorted Ascending,900,Batch Insert,AVLTreeMap,38.1
Sorted Ascending,1000,Batch Insert,AVLTreeMap,42.42
Sorted Ascending,1500,Batch Insert,AVLTreeMap,66.9
Sorted Ascending,2000,Batch Insert,AVLTreeMap,97.16
Sorted Ascending,2500,Batch Insert,AVLTreeMap,113.04
Sorted Ascending,3000,Batch Insert,AVLTreeMap,141.2
Sorted Ascending,3500,Batch Insert,AVLTreeMap,164.26
Sorted Ascending,4000,Batch Insert,AVLTreeMap,184.32
Sorted Ascending,4500,Batch Insert,AVLTreeMap,292.68
Sorted Ascending,5000,Batch Insert,AVLTreeMap,216.2
Sorted Ascending,5500,Batch Insert,AVLTreeMap,255.36
Sorted Ascending,6000,Batch Insert,AVLTreeMap,294.58
Sorted Ascending,6500,Batch Insert,AVLTreeMap,307.7
Sorted Ascending,7000,Batch Insert,AVLTreeMap,328.88
Sorted Ascending,7500,Batch Insert,AVLTreeMap,341.84
Sorted Ascending,8000,Batch Insert,AVLTreeMap,364.48
Sorted Ascending,8500,Batch Insert,AVLTreeMap,412.7
Sorted Ascending,9000,Batch Insert,AVLTreeMap,436.02
Sorted Ascending,9500,Batch Insert,AVLTreeMap,454.96
Sorted Ascending,10000,Batch Insert,AVLTreeMap,475.62
Sorted Ascending,100,Batch Insert,TreeMap,3.52
Sorted Ascending,200,Batch Insert,TreeMap,7.16
Sorted Ascending,300,Batch Insert,TreeMap,11.9
Sorted Ascending,400,Batch Insert,TreeMap,16.64
Sorted Ascending,500,Batch Insert,TreeMap,20.84
Sorted Ascending,600,Batch Insert,TreeMap,26.0
Sorted Ascending,700,Batch Insert,TreeMap,31.78
Sorted Ascending,800,Batch Insert,TreeMap,35.92
Sorted Ascending,900,Batch Insert,TreeMap,40.62
Sorted Ascending,1000,Batch Insert,TreeMap,50.28
Sorted Ascending,1500,Batch Insert,TreeMap,70.5
Sorted Ascending,2000,Batch Insert,TreeMap,94.14
Sorted Ascending,2500,Batch Insert,TreeMap,128.72
Sorted Ascending,3000,Batch Insert,TreeMap,163.62
Sorted Ascending,3500,Batch Insert,TreeMap,212.88
Sorted Ascending,4000,Batch Insert,TreeMap,248.98
Sorted Ascending,4500,Batch Insert,TreeMap,291.78
Sorted Ascending,5000,Batch Insert,TreeMap,298.36
Sorted Ascending,5500,Batch Insert,TreeMap,350.7
Sorted Ascending,6000,Batch Insert,TreeMap,393.82
Sorted Ascending,6500,Batch Insert,TreeMap,424.16
Sorted Ascending,7000,Batch Insert,TreeMap,467.22
Sorted Ascending,7500,Batch Insert,TreeMap,512.8
Sorted Ascending,8000,Batch Insert,TreeMap,521.16
Sorted Ascending,8500,Batch Insert,TreeMap,539.32
Sorted Ascending,9000,Batch Insert,TreeMap,640.72
Sorted Ascending,9500,Batch Insert,TreeMap,676.54
Sorted Ascending,10000,Batch Insert,TreeMap,765.86
Sorted Descending,100,Batch Insert,Treap,3.68
Sorted Descending,200,Batch Insert,Treap,6.7
