=== Q3: Sorting Benchmark ===
TreapSort vs PQSort vs Collections.sort vs QuickSort vs MergeSort
Each measurement is the average of 5 runs after 3 warmup runs.

========================================
Input Pattern: Random
========================================
n        |   TreapSort (us) |      PQSort (us) | Collections.sort(us) |   QuickSort (us) |   MergeSort (us)
----------------------------------------------------------------------------------------------------------
100      |          205.320 |          174.040 |               31.200 |           29.320 |           41.400
200      |          158.400 |          105.460 |               70.900 |            7.540 |           18.200
300      |          209.300 |          119.760 |              101.880 |           13.020 |          177.080
400      |          289.280 |          115.440 |              109.740 |           16.040 |           20.240
500      |          400.620 |           88.660 |              106.720 |           10.300 |           30.240
600      |          416.420 |          118.360 |               88.180 |           15.680 |           20.880
700      |          409.760 |          113.040 |              112.100 |           17.040 |           26.200
800      |          311.980 |          126.680 |              127.380 |           46.660 |           41.240
900      |          376.580 |          163.880 |              147.200 |           38.240 |           47.380
1000     |          379.720 |          108.500 |              158.520 |           32.540 |           52.400
1500     |          515.340 |          165.900 |              276.440 |           79.620 |          112.620
2000     |          538.400 |          348.060 |              257.820 |           99.500 |          140.780
2500     |          670.060 |          348.080 |              362.100 |          141.820 |          188.100
3000     |          869.720 |          392.040 |              431.660 |          176.820 |          254.380
3500     |          909.240 |          523.880 |              494.760 |          192.760 |          290.760
4000     |         1168.800 |          552.180 |              602.680 |          235.980 |          348.640
4500     |         1154.480 |          715.440 |              525.520 |          265.040 |          408.540
5000     |         1707.140 |          720.560 |              670.800 |          287.960 |          422.620
5500     |         1433.620 |          857.120 |              751.240 |          350.580 |          451.680
6000     |         1792.820 |          929.160 |              740.280 |          386.240 |          530.440
6500     |         1813.280 |          888.520 |              878.020 |          437.600 |          578.180
7000     |         2025.220 |         1049.960 |              918.660 |          462.020 |          634.920
7500     |         2110.680 |         1255.160 |             1426.800 |          542.520 |          745.620
8000     |         2902.340 |         1308.420 |             1146.200 |          622.740 |          934.660
8500     |         2518.940 |         1407.020 |             1451.460 |          624.920 |          868.580
9000     |         3203.640 |         1460.380 |             1084.760 |          591.020 |          870.220
9500     |         3113.740 |         1596.400 |             1227.000 |          628.120 |         1021.500
10000    |         3454.320 |         1872.500 |             1376.620 |          711.480 |          981.700

========================================
Input Pattern: Nearly Sorted
========================================
n        |   TreapSort (us) |      PQSort (us) | Collections.sort(us) |   QuickSort (us) |   MergeSort (us)
----------------------------------------------------------------------------------------------------------
100      |           18.380 |            3.820 |               26.420 |            0.640 |            2.220
200      |           33.320 |           10.840 |               17.360 |            1.420 |            4.760
300      |           50.440 |           17.600 |               21.360 |            2.000 |            8.260
